,Name,Price,Rating,Storage
0,"IQOO Z10X 5G (Ultramarine, 128 GB)","₹13,689",4.4,6 GB RAM | 128 GB ROM
1,"POCO C71 (Desert Gold, 64 GB)","₹6,299",3.9,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB
2,"Samsung Galaxy F05 (Twilight Blue, 64 GB)","₹6,249",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
3,"REDMI A3X (Midnight Black, 128 GB)","₹6,499",4.1,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
4,"POCO C71 (Power Black, 128 GB)","₹6,999",4.1,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB
5,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",₹898,3.9,32 MB RAM | 32 MB ROM
6,Samsung Guru Music 2,₹799,3.1,10 MB RAM | 10 MB ROM
7,"IQOO Z10X 5G (Titanium, 128 GB)","₹13,675",4.4,6 GB RAM | 128 GB ROM
8,"POCO C75 5G (Aqua Bliss, 128 GB)","₹8,299",4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
9,"REDMI A3X (Ocean Green, 128 GB)","₹6,499",4.1,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
10,"REDMI A5 (Just Black, 64 GB)","₹6,499",4.2,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB
11,Nokia 105 Classic with Charger,₹808,3.4,32 MB RAM | 32 MB ROM
12,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",₹918,3.9,32 MB RAM | 32 MB ROM
13,"POCO C71 (Cool Blue, 64 GB)","₹6,299",3.9,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB
14,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",₹999,3.9,32 MB RAM | 32 MB ROM
15,"MOTOROLA g05 (Forest Green, 64 GB)","₹7,299",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
16,"vivo T4R 5G (Twilight Blue, 128 GB)","₹19,499",4.5,8 GB RAM | 128 GB ROM
17,"Ai+ Pulse (Green, 64 GB)","₹5,999",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
18,"vivo T4 Lite 5G Charger in the Box (Prism Blue, 256 GB)","₹12,999",4.3,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB
19,"REDMI A5 (Pondicherry Blue, 128 GB)","₹7,499",4.2,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB
20,"Ai+ Pulse (Purple, 64 GB)","₹5,999",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
21,"POCO C75 5G (Aqua Bliss, 64 GB)","₹7,699",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
22,"REDMI A3X (Midnight Black, 64 GB)","₹5,999",4.1,3 GB RAM | 64 GB ROM | Expandable Upto 1 TB
23,"IQOO Z10 Lite 5G (Titanium Blue, 128 GB)","₹10,250",4.2,4 GB RAM | 128 GB ROM
